ClassId,TR,EN
273,BRAG,BRAG
274,BRAIDS,BRAIDS
275,BRAILLE,BRAILLE
276,BRAINSTORM,BRAINSTORM
277,BRAINWASH,BRAINWASH
278,BRAVE,BRAVE
279,BREAD,BREAD
280,BREAK,BREAK
281,BREAKDOWN1,BREAKDOWN1
282,BREAKDOWN2,BREAKDOWN2
283,BREAKFAST1,BREAKFAST1
284,BREAKFAST2,BREAKFAST2
285,BREAKTIME,BREAKTIME
286,BREATHE,BREATHE
287,BRICK,BRICK
288,BRIDESMAID,BRIDESMAID
289,BRIDGE1,BRIDGE1
290,BRIDGE2,BRIDGE2
291,BRIGHT,BRIGHT
292,BRING,BRING
293,BROTHER,BROTHER
294,BROWN,BROWN
295,BRUSH,BRUSH
296,BUBBLES,BUBBLES
297,BUCKLE1,BUCKLE1
298,BUCKLE2,BUCKLE2
299,BUDGET,BUDGET
300,BUFFALO,BUFFALO
301,BUG,BUG
302,BUILDING,BUILDING
303,BULL,BULL
304,BULLDOZER,BULLDOZER
305,BULLSHIT,BULLSHIT
306,BUMPY,BUMPY
307,BUN,BUN
308,BURN,BURN
309,BURP,BURP
310,BURY1,BURY1
311,BURY2,BURY2
312,BURY3,BURY3
313,BURY4,BURY4
314,BUS,BUS
315,BUSINESS,BUSINESS
316,BUSTED,BUSTED
317,BUSY,BUSY
318,BUT,BUT
319,BUTTER,BUTTER
320,BUTTERFLY,BUTTERFLY
321,BUTTONS,BUTTONS
322,BUY,BUY
323,BYE,BYE
324,CABINET,CABINET
325,CAFETERIA,CAFETERIA
326,CAKE,CAKE
327,CALCULATOR,CALCULATOR
328,CALENDAR1,CALENDAR1
329,CALENDAR2,CALENDAR2
330,CALIFORNIA,CALIFORNIA
331,CALL1,CALL1
332,CALL2,CALL2
333,CALLATTENTION,CALLATTENTION
334,CALLTTY,CALLTTY
335,CALM,CALM
336,CAMCORDER,CAMCORDER
337,CAMEL,CAMEL
338,CAMERA,CAMERA
339,CAMERAMAN,CAMERAMAN
340,CAMPING,CAMPING
341,CAN1,CAN1
342,CAN2,CAN2
343,CANADA,CANADA
344,CANCEL1,CANCEL1
345,CANCEL2,CANCEL2
346,CANCELLATION,CANCELLATION
347,CANCER1,CANCER1
348,CANCER2,CANCER2
349,CANDLE,CANDLE
350,CANDY1,CANDY1
351,CANDY2,CANDY2
352,CANNON,CANNON
353,CANNOT,CANNOT
354,CANOE,CANOE
355,CAPE,CAPE
356,CAPTION,CAPTION
357,CAPTURE,CAPTURE
358,CAR,CAR
359,CARACCIDENT,CARACCIDENT
360,CARBATTERY,CARBATTERY
361,CARDS,CARDS
362,CAREFUL,CAREFUL
363,CAROUSEL,CAROUSEL
364,CARROT1,CARROT1
365,CARROT2,CARROT2
366,CARROT3,CARROT3
367,CARRY,CARRY
368,CARVE,CARVE
369,CASTLE1,CASTLE1
370,CASTLE2,CASTLE2
371,CASTLE3,CASTLE3
372,CASTLE4,CASTLE4
373,CASUAL,CASUAL
374,CAT1,CAT1
375,CAT2,CAT2
376,CAT3,CAT3
377,CATAPULT,CATAPULT
378,CATCH1,CATCH1
379,CATCH2,CATCH2
380,CATCH3,CATCH3
381,CATCHBASEBALL,CATCHBASEBALL
382,CATEGORY,CATEGORY
383,CATEPILLAR,CATEPILLAR
384,CATHOLIC,CATHOLIC
385,CAUGHT,CAUGHT
386,CAUSE,CAUSE
387,CEILING,CEILING
388,CELEBRATE,CELEBRATE
389,CELERY,CELERY
390,CELLPHONE,CELLPHONE
391,CEMETERY,CEMETERY
392,CENTER,CENTER
393,CEREAL,CEREAL
394,CERTIFICATE,CERTIFICATE
395,CHAIN,CHAIN
396,CHAIR,CHAIR
397,CHALLENGE,CHALLENGE
398,CHAMP,CHAMP
399,CHAMPION,CHAMPION
400,CHANCE,CHANCE
401,CHANGE,CHANGE
402,CHANNEL,CHANNEL
403,CHAOS,CHAOS
404,CHARACTER,CHARACTER
405,CHARGE,CHARGE
406,CHARGECARD,CHARGECARD
407,CHASE,CHASE
408,CHAT,CHAT
409,CHEAP,CHEAP
410,CHEAT1,CHEAT1
411,CHEAT2,CHEAT2
412,CHECK,CHECK
413,CHEEK,CHEEK
414,CHEER,CHEER
415,CHEERLEADER1,CHEERLEADER1
416,CHEERLEADER2,CHEERLEADER2
417,CHEESE,CHEESE
418,CHEESEGRATER,CHEESEGRATER
419,CHERISH,CHERISH
420,CHERRY1,CHERRY1
421,CHERRY2,CHERRY2
422,CHEW1,CHEW1
423,CHEW2,CHEW2
424,CHEW2MOUTH,CHEW2MOUTH
425,CHEW3,CHEW3
426,CHEW4,CHEW4
427,CHICAGO,CHICAGO
428,CHILD,CHILD
429,CHILDREN,CHILDREN
430,CHIMNEY,CHIMNEY
431,CHIN,CHIN
432,CHINA,CHINA
433,CHOCOLATE,CHOCOLATE
434,CHOKE,CHOKE
435,CHOP,CHOP
436,CHOPSTICKS,CHOPSTICKS
437,CHRISTMAS1,CHRISTMAS1
438,CHRISTMAS2,CHRISTMAS2
439,CHURCH,CHURCH
440,CHURN,CHURN
441,CIGAR,CIGAR
442,CIGARETTE,CIGARETTE
443,CIRCLE,CIRCLE
444,CIRCUSWHEEL,CIRCUSWHEEL
445,CITY1,CITY1
446,CITY2,CITY2
447,CLAP,CLAP
448,CLASH,CLASH
449,CLASS,CLASS
450,CLAUSE,CLAUSE
451,CLAW,CLAW
452,CLEAN,CLEAN
453,CLEAR,CLEAR
454,CLEFTCHIN,CLEFTCHIN
455,CLICK,CLICK
456,CLIENT,CLIENT
457,CLIMBLADDER,CLIMBLADDER
458,CLIP,CLIP
459,CLOCK1,CLOCK1
460,CLOCK2,CLOCK2
461,CLOSE,CLOSE
462,CLOSEDOOR,CLOSEDOOR
463,CLOSEEYES,CLOSEEYES
464,CLOSET1,CLOSET1
465,CLOSET2,CLOSET2
466,CLOTHES,CLOTHES
467,CLOUD1,CLOUD1
468,CLOUD2,CLOUD2
469,CLOUD3,CLOUD3
470,CLOUD4,CLOUD4
471,CLOWN,CLOWN
472,CLUELESS,CLUELESS
473,COACH,COACH
474,COCACOLA,COCACOLA
475,COCAINE,COCAINE
476,COCONUT,COCONUT
477,COFFEE,COFFEE
478,COINS,COINS
479,COLD,COLD
480,COLLEGE,COLLEGE
481,COLOR,COLOR
482,COMB1,COMB1
483,COMB2,COMB2
484,COME,COME
485,COMEHERE,COMEHERE
486,COMEOUT,COMEOUT
487,COMFORTABLE,COMFORTABLE
488,COMMENT,COMMENT
489,COMMITTEE,COMMITTEE
490,COMMUNICATION,COMMUNICATION
491,COMMUNITY,COMMUNITY
492,COMMUTE,COMMUTE
493,COMPASS,COMPASS
494,COMPLAIN,COMPLAIN
495,COMPLEX,COMPLEX
496,COMPUTER,COMPUTER
497,COMPUTERMOUSE,COMPUTERMOUSE
498,CONCEPT,CONCEPT
499,CONCERNED,CONCERNED
500,CONDUCT1,CONDUCT1
501,CONDUCT2,CONDUCT2
502,CONDUCT3,CONDUCT3
503,CONFIDENT,CONFIDENT
504,CONFIDENTIAL,CONFIDENTIAL
505,CONFLICT,CONFLICT
506,CONFUSED1,CONFUSED1
507,CONFUSED2,CONFUSED2
508,CONGRATULATIONS,CONGRATULATIONS
509,CONNECTION,CONNECTION
510,CONSUME,CONSUME
511,CONTACT,CONTACT
512,CONTACTLENS,CONTACTLENS
513,CONTINUE,CONTINUE
514,CONVINCE1,CONVINCE1
515,CONVINCE2,CONVINCE2
516,COOK,COOK
517,COOKIE,COOKIE
518,COOL1,COOL1
519,COOL2,COOL2
520,COOL3,COOL3
521,COOL4,COOL4
522,COOPERATE,COOPERATE
523,COPY,COPY
524,CORKSCREW1,CORKSCREW1
525,CORKSCREW2,CORKSCREW2
526,CORN1,CORN1
527,CORN2,CORN2
528,CORN3,CORN3
529,CORNER,CORNER
530,COST,COST
531,COUCH,COUCH
532,COUGH,COUGH
533,COUNSELOR,COUNSELOR
534,COUNT,COUNT
535,COUNTRY,COUNTRY
536,COUSIN,COUSIN
537,COVERUP,COVERUP
538,COW,COW
539,COWBOY,COWBOY
540,CRACK,CRACK
541,CRACKER1,CRACKER1
542,CRACKER2,CRACKER2
543,CRANKY,CRANKY
544,CRASH,CRASH
545,CRASHPLANE,CRASHPLANE
546,CRAWL1,CRAWL1
547,CRAWL2,CRAWL2
548,CRAZY,CRAZY
549,CREAM1,CREAM1
550,CREAM2,CREAM2
551,CREATE,CREATE
552,CREDITCARD,CREDITCARD
553,CREWCUT,CREWCUT
554,CROCODILE,CROCODILE
555,CROSS1,CROSS1
556,CROSS2,CROSS2
557,CROSS3,CROSS3
558,CROSSHEART,CROSSHEART
559,CROWN,CROWN
560,CRUMPLE,CRUMPLE
561,CRY1,CRY1
562,CRY2,CRY2
563,CRY3,CRY3
564,CRY4,CRY4
565,CULTURE,CULTURE
566,CUP,CUP
567,CURIOUS,CURIOUS
568,CURL1,CURL1
569,CURL2,CURL2
570,CURLYHAIR,CURLYHAIR
571,CURTAIN,CURTAIN
572,CURTSEY1,CURTSEY1
573,CURTSEY2,CURTSEY2
574,CUT,CUT
575,CUTE1,CUTE1
576,CUTE2,CUTE2
577,CUTREMOVEVID,CUTREMOVEVID
578,DAMN,DAMN
579,DANCE,DANCE
580,DANCER,DANCER
581,DANGER,DANGER
582,DARK1,DARK1
583,DARK2,DARK2
584,DART,DART
585,DATE,DATE
586,DAUGHTER,DAUGHTER
587,DAY,DAY
588,DEAF1,DEAF1
589,DEAF2,DEAF2
590,DEAFSCHOOL,DEAFSCHOOL
591,DEALCARDS,DEALCARDS
592,DEATH,DEATH
593,DECIDE1,DECIDE1
594,DECIDE2,DECIDE2
595,DECLINE,DECLINE
596,DECORATE1,DECORATE1
597,DECORATE2,DECORATE2
598,DEDICATE1,DEDICATE1
599,DEDICATE2,DEDICATE2
600,DEEP,DEEP
601,DEER,DEER
602,DEFEAT,DEFEAT
603,DEFLATE,DEFLATE
604,DEGREE,DEGREE
605,DELEGATE,DELEGATE
606,DELIBERATE,DELIBERATE
607,DELICIOUS,DELICIOUS
608,DELINQUENT,DELINQUENT
609,DEMAND1,DEMAND1
610,DEMAND2,DEMAND2
611,DEMOTE,DEMOTE
612,DENT,DENT
613,DENTIST1,DENTIST1
614,DENTIST2,DENTIST2
615,DENY,DENY
616,DEODORANT,DEODORANT
617,DEPARTMENT,DEPARTMENT
618,DEPENDON,DEPENDON
619,DEPRESS,DEPRESS
620,DEPTH,DEPTH
621,DESERT,DESERT
622,DESIGN,DESIGN
623,DESSERT,DESSERT
624,DESTROY,DESTROY
625,DEVELOP1,DEVELOP1
626,DEVELOP2,DEVELOP2
627,DEVIL,DEVIL
628,DEVOUR,DEVOUR
629,DIAMOND,DIAMOND
630,DIAPER,DIAPER
631,DICE,DICE
632,DICTIONARY,DICTIONARY
633,DIE,DIE
634,DIFFERENT,DIFFERENT
635,DIFFERENTSITUATION,DIFFERENTSITUATION
636,DIG,DIG
637,DIGUP,DIGUP
638,DILEMMA,DILEMMA
639,DININGROOM,DININGROOM
640,DINNER1,DINNER1
641,DINNER2,DINNER2
642,DINOSAUR1,DINOSAUR1
643,DINOSAUR2,DINOSAUR2
644,DIP1,DIP1
645,DIP2,DIP2
646,DIP3,DIP3
647,DIRECTOR,DIRECTOR
648,DIRTY,DIRTY
649,DISAGREEMENT,DISAGREEMENT
650,DISAPPEAR,DISAPPEAR
651,DISAPPOINT,DISAPPOINT
652,DISCONNECT,DISCONNECT
653,DISCUSS,DISCUSS
654,DISLIKE,DISLIKE
655,DISNEY,DISNEY
656,DISPATCH,DISPATCH
657,DISRUPT,DISRUPT
658,DISSECT,DISSECT
659,DISSOLVE,DISSOLVE
660,DISTRACTED,DISTRACTED
661,DIVE,DIVE
662,DIVIDE,DIVIDE
663,DIVORCE,DIVORCE
664,DIZZY,DIZZY
665,DOCTOR1,DOCTOR1
666,DOCTOR2,DOCTOR2
667,DOCUMENT,DOCUMENT
668,DODO,DODO
669,DOESNTMATTER,DOESNTMATTER
670,DOG1,DOG1
671,DOG2,DOG2
672,DOG3,DOG3
673,DOG4,DOG4
674,DOLL,DOLL
675,DOLPHIN1,DOLPHIN1
676,DOLPHIN2,DOLPHIN2
677,DOLPHIN3,DOLPHIN3
678,DOMINANT,DOMINANT
679,DONKEY,DONKEY
680,DONTCARE,DONTCARE
681,DONTFEELLIKE,DONTFEELLIKE
682,DONTKNOW,DONTKNOW
683,DONTLIKE,DONTLIKE
684,DONTMIND,DONTMIND
685,DONTNEED,DONTNEED
686,DONTWANT,DONTWANT
687,DONUT,DONUT
688,DOOR,DOOR
689,DORMITORY,DORMITORY
690,DOUBLE,DOUBLE
691,DOUBT,DOUBT
692,DOWN,DOWN
693,DOWNHILL,DOWNHILL
694,DOWNLOAD,DOWNLOAD
695,DOWNSIZE1,DOWNSIZE1
696,DOWNSIZE2,DOWNSIZE2
697,DRAG1,DRAG1
698,DRAG2,DRAG2
699,DRAGON,DRAGON
700,DRAW,DRAW
701,DRAWER,DRAWER
702,DREADLOCKS,DREADLOCKS
703,DREAM,DREAM
704,DRESS,DRESS
705,DRESSER,DRESSER
706,DRESSUP,DRESSUP
707,DRIBBLE,DRIBBLE
708,DRILL,DRILL
709,DRINK1,DRINK1
710,DRINK2,DRINK2
711,DRIP,DRIP
712,DRIVE,DRIVE
713,DROP,DROP
714,DROWN1,DROWN1
715,DROWN2,DROWN2
716,DROWN3,DROWN3
717,DROWN4,DROWN4
718,DROWN5,DROWN5
719,DRUG,DRUG
720,DRUM,DRUM
721,DRUNK,DRUNK
722,DRY,DRY
723,DRYER,DRYER
724,DUCK1,DUCK1
725,DUCK2,DUCK2
726,DUE,DUE
727,DUMB,DUMB
728,DUTY,DUTY
729,DYE,DYE
730,EACH,EACH
731,EACHOTHER,EACHOTHER
732,EAGLE1,EAGLE1
733,EAGLE2,EAGLE2
734,EAR,EAR
735,EARLY,EARLY
736,EARMUFFS,EARMUFFS
737,EARN,EARN
738,EARRING,EARRING
739,EARSUP,EARSUP
740,EARTH,EARTH
741,EARTHQUAKE,EARTHQUAKE
742,EASEL,EASEL
743,EAST,EAST
744,EASTER,EASTER
745,EASY,EASY
746,EASYTODO,EASYTODO
747,EAT1,EAT1
748,EAT2,EAT2
749,ECLIPSE,ECLIPSE
750,EDGE,EDGE
751,EDIT1,EDIT1
752,EDIT2,EDIT2
753,EFFECT,EFFECT
754,EGG,EGG
755,EGGBEATER,EGGBEATER
756,EGO,EGO
757,EGYPT,EGYPT
758,EIGHT,EIGHT
759,EITHER,EITHER
760,ELECTRICIAN,ELECTRICIAN
761,ELECTROCUTE,ELECTROCUTE
762,ELEGANCE,ELEGANCE
763,ELEMENTARYSCHOOL,ELEMENTARYSCHOOL
764,ELEPHANT,ELEPHANT
765,ELEVATOR1,ELEVATOR1
766,ELEVATOR2,ELEVATOR2
767,ELEVATOR3,ELEVATOR3
768,ELEVEN,ELEVEN
769,EMAIL,EMAIL
770,EMBARRASS,EMBARRASS
771,EMOTION,EMOTION
772,EMPEROR,EMPEROR
773,EMPHASIS,EMPHASIS
774,EMPTY1,EMPTY1
775,EMPTY2,EMPTY2
776,END,END
777,ENEMY,ENEMY
778,ENERGY,ENERGY
779,ENGAGEMENT,ENGAGEMENT
780,ENGINEER,ENGINEER
781,ENGINESTART,ENGINESTART
782,ENGLISH,ENGLISH
783,ENJOY,ENJOY
784,ENOUGH,ENOUGH
785,ENTER,ENTER
786,ENVELOPE1,ENVELOPE1
787,ENVELOPE2,ENVELOPE2
788,ENVELOPE3,ENVELOPE3
789,ENVELOPE4,ENVELOPE4
790,ENVELOPE5,ENVELOPE5
791,ENVIRONMENT,ENVIRONMENT
792,EQUAL,EQUAL
793,ERASE1,ERASE1
794,ERASE2,ERASE2
795,ERASE3,ERASE3
796,ERASE4,ERASE4
797,ERASE5,ERASE5
798,ERASER,ERASER
799,ERUPT1,ERUPT1
800,ERUPT2,ERUPT2
801,ESCALATE,ESCALATE
802,ESCALATOR,ESCALATOR
803,ESCAPE,ESCAPE
804,EUROPE,EUROPE
805,EVALUATE,EVALUATE
806,EVEN,EVEN
807,EVENT,EVENT
808,EVERYDAY,EVERYDAY
809,EVERYNIGHT,EVERYNIGHT
810,EVERYTHING,EVERYTHING
811,EVERYYEAR,EVERYYEAR
812,EVIDENCE,EVIDENCE
813,EXAMPLE,EXAMPLE
814,EXCITED,EXCITED
815,EXCUSE,EXCUSE
816,EXERCISE,EXERCISE
817,EXPECT,EXPECT
818,EXPENSIVE,EXPENSIVE
819,EXPERIENCE,EXPERIENCE
820,EXPERIENCED,EXPERIENCED
821,EXPERIMENT,EXPERIMENT
822,EXPERT,EXPERT
823,EXPLANATION,EXPLANATION
824,EXPLODE,EXPLODE
825,EXPRESS,EXPRESS
826,EYEGLASSES,EYEGLASSES
827,EYES,EYES
828,EYESAWAKE,EYESAWAKE
829,EYETURN,EYETURN
830,FACE,FACE
831,FACULTY,FACULTY
832,FADE,FADE
833,FAIL,FAIL
834,FAINT,FAINT
835,FAIR,FAIR
836,FAKE,FAKE
837,FALL1,FALL1
838,FALL2,FALL2
839,FALLINGASLEEP,FALLINGASLEEP
840,FAMILY,FAMILY
841,FAMOUS,FAMOUS
842,FAN,FAN
843,FANTASY,FANTASY
844,FAR,FAR
845,FARM,FARM
846,FASCINATED,FASCINATED
847,FASHION,FASHION
848,FAST,FAST
849,FAT,FAT
850,FATHER,FATHER
851,FAUCET,FAUCET
852,FAULT,FAULT
853,FAVORITE,FAVORITE
854,FEBRUARY,FEBRUARY
855,FEDUP,FEDUP
856,FEED1,FEED1
857,FEED2,FEED2
858,FEEDBACK,FEEDBACK
859,FEEL,FEEL
860,FENCE1,FENCE1
861,FENCE2,FENCE2
862,FENCING,FENCING
863,FEW,FEW
864,FIANCE,FIANCE
865,FIFTH,FIFTH
866,FIGHT,FIGHT
867,FIGURE,FIGURE
868,FILE1,FILE1
869,FILE2,FILE2
870,FILE3,FILE3
871,FILLOUT,FILLOUT
872,FILM,FILM
873,FILTER,FILTER
874,FINALLY,FINALLY
875,FINANCE,FINANCE
876,FIND,FIND
877,FINE1,FINE1
878,FINE2,FINE2
879,FINGER,FINGER
880,FINGERSCROSSED,FINGERSCROSSED
881,FINGERSPELL,FINGERSPELL
882,FINGERSPELLING,FINGERSPELLING
883,FINISH,FINISH
884,FINS,FINS
885,FIRE,FIRE
886,FIRED,FIRED
887,FIREMAN1,FIREMAN1
888,FIREMAN2,FIREMAN2
889,FIRETRUCK,FIRETRUCK
890,FIRST,FIRST
891,FISH,FISH
892,FISHING1,FISHING1
893,FISHING2,FISHING2
894,FIT,FIT
895,FIX,FIX
896,FLAG1,FLAG1
897,FLAG2,FLAG2
898,FLASHLIGHT1,FLASHLIGHT1
899,FLASHLIGHT2,FLASHLIGHT2
900,FLASHLIGHT3,FLASHLIGHT3
901,FLASHLIGHT4,FLASHLIGHT4
902,FLIP,FLIP
903,FLIPFLOPS,FLIPFLOPS
904,FLIPSWITCH,FLIPSWITCH
905,FLOAT1,FLOAT1
906,FLOAT2,FLOAT2
907,FLOAT3,FLOAT3
908,FLOOR,FLOOR
909,FLOWER,FLOWER
910,FLUTE,FLUTE
911,FLY,FLY
912,FOCUS,FOCUS
913,FOLD1,FOLD1
914,FOLD2,FOLD2
915,FOLLOW1,FOLLOW1
916,FOLLOW2,FOLLOW2
917,FOLLOW3,FOLLOW3
918,FOLLOW4,FOLLOW4
919,FOND,FOND
920,FOOL,FOOL
921,FOOTBALL,FOOTBALL
922,FOR,FOR
923,FORBID,FORBID
924,FOREIGNER1,FOREIGNER1
925,FOREIGNER2,FOREIGNER2
926,FOREST,FOREST
927,FOREVER1,FOREVER1
928,FOREVER2,FOREVER2
929,FORFEIT,FORFEIT
930,FORGETFUL,FORGETFUL
931,FORK1,FORK1
932,FORK2,FORK2
933,FORK3,FORK3
934,FORK4,FORK4
935,FORM,FORM
936,FORMER,FORMER
937,FOUL,FOUL
938,FOUR,FOUR
